1,California,3128763,36359,1390685,1701719,79185,920,39725839,1005406,39512223,state
2,Texas,2233304,34600,1814654,384050,77021,1193,18794175,648167,28995881,state
3,Florida,1627603,25013,825397,777193,75781,1165,18126056,843946,21477737,state
4,New_York,1344365,42074,516686,785605,69106,2163,30030951,1543725,19453561,state
5,Illinois,1093375,20534,876159,196682,86284,1620,15209516,1200263,12671821,state
6,Ohio,853982,10600,720171,123211,73058,907,8682631,742797,11689100,state
7,Georgia,853173,13060,376821,463292,80356,1230,6553631,617253,10617423,state
8,Pennsylvania,799948,20365,627395,152188,62486,1591,8750938,683561,12801989,state
9,Arizona,708041,12001,96193,599847,97276,1649,3717627,510753,7278717,state
10,North_Carolina,705535,8464,579573,117498,67270,807,8316710,792968,10488084,state
11,Tennessee,701847,8777,646144,46926,102772,1285,6128305,897371,6829174,state
12,New_Jersey,650389,20875,345733,283781,73224,2350,8940846,1006604,8882190,state
13,Indiana,605426,9642,388141,207643,89930,1432,6652500,988159,6732219,state
14,Michigan,594920,14951,442408,137561,59570,1497,9602887,961552,9986857,state
15,Wisconsin,530171,5643,500685,23843,91057,969,2993515,514135,5822434,state
16,Massachusetts,491452,13987,388032,89433,71302,2029,12754206,1850446,6892503,state
17,Missouri,481014,7089,167561,306364,78374,1155,4665957,760246,6137428,state
18,Virginia,463751,6002,36577,421172,54332,703,6087688,713218,8535519,state
19,Minnesota,452268,6100,434515,11653,80195,1082,6289662,1115261,5639632,state
20,Alabama,436087,6486,233211,196390,88940,1323,2166181,441791,4903185,state
21,South_Carolina,409188,6404,183146,219638,79474,1244,4555905,884863,5148714,state
22,Colorado,383008,5462,91006,286540,66509,948,2334170,405327,5758736,state
23,Louisiana,380255,8483,320025,51747,81796,1825,5047987,1085870,4648794,state
24,Oklahoma,365992,3187,330478,32327,92493,805,3045125,769560,3956971,state
25,Kentucky,340779,3337,41562,295880,76277,747,3875326,867415,4467673,state
26,Maryland,336915,6792,9469,320654,55728,1123,6630564,1096744,6045680,state
27,Utah,333118,1571,279908,51639,103906,490,3154671,984003,3205958,state
28,Iowa,310951,4478,273038,33435,98556,1419,1440781,456656,3155070,state
29,Washington,301678,4191,135806,161681,39617,550,4349779,571220,7614893,state
30,Arkansas,281382,4549,256696,20137,93241,1507,2662775,882355,3017804,state
31,Kansas,269072,3623,NA,NA,92359,1244,1137411,390418,2913314,state
32,Nevada,268212,3958,156824,107430,87077,1285,2395142,777604,3080156,state
33,Mississippi,261167,5713,207769,47685,87753,1920,2056401,690960,2976149,state
34,Connecticut,237815,6819,59387,171609,66703,1913,5439307,1525629,3565287,state
35,Nebraska,185346,1868,130527,52951,95815,966,895969,463175,1934408,state
36,New_Mexico,167731,3077,92109,72545,79993,1467,2214495,1056116,2096829,state
37,Idaho,158798,1667,75041,82090,88860,933,954658,534204,1787065,state
38,Oregon,136839,1865,NA,NA,32444,442,3043792,721665,4217737,state
39,West_Virginia,113615,1856,86417,25342,63396,1036,1820409,1015770,1792147,state
40,Rhode_Island,109735,2083,6626,101026,103586,1966,2363131,2230714,1059361,state
41,South_Dakota,106716,1684,100942,4090,120630,1904,395477,447039,884659,state
42,North_Dakota,96567,1403,93980,1184,126718,1841,389697,511372,762062,state
43,Montana,91049,1104,85095,4850,85190,1033,899769,841867,1068778,state
44,Delaware,73233,1027,NA,NA,75206,1055,565705,580947,973764,state
45,New_Hampshire,60951,971,53773,6207,44826,714,1187904,873644,1359711,state
46,Alaska,51204,252,NA,NA,69994,344,1438958,1967012,731545,state
47,Wyoming,50583,571,48316,1696,87399,987,573868,991549,578759,state
48,Maine,36274,540,12187,23547,26985,402,1453988,1081666,1344212,state
49,District_Of_Columbia,34905,867,24251,9787,49458,1228,1038480,1471458,705749,district
50,Hawaii,24870,332,13182,11356,17565,234,931476,657882,1415872,state
51,Vermont,10759,169,7177,3413,17242,271,834067,1336669,623989,state
52,Puerto_Rico,152876,1761,73760,77355,45137,520,464073,137018,3386941,territory
